action,match_key,display_name,sources,status,remark
HOLD_LEGACY_NOT_IN_CURRENT,alagirresistorfactory,Alagir Resistor Factory,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,alagirskyresistorfactory,Alagirsky Resistor Factory,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,alekseybudnev,Aleksey Budnev,OFAC;経産省;財務省,有効,制裁リスト（財務省：ロシア連邦(個人)／経産省／OFAC：SDN）
HOLD_LEGACY_NOT_IN_CURRENT,all-russianresearchinstituteforopticalandphysicalmeasurementsfederalstate,All-Russian Research Institute for Optical and Physical Measurements Federal State,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,all-russianscientific-researchinstituteetalonjsc,All-Russian Scientific-Research Institute Etalon JSC,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,"allpartstradingco.,ltd","Allparts Trading Co., Ltd",経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,allpartstradingcompanylimited,All Parts Trading Company Limited,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,allpartstradingcompanylimited.,All Parts Trading Company Limited.,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,allrussiascientificresearchinstituteofopticalphysicalmeasurements,All Russia Scientific Research Institute of Optical Physical Measurements,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,almaz,Almaz,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,almazjsc,Almaz JSC,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,alphatradinginvestments,Alpha Trading Investments,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,alphatradinginvestmentslimited,ALPHA TRADING INVESTMENTS LIMITED,OFAC;経産省,有効,制裁リスト（経産省／OFAC：SDN）
HOLD_LEGACY_NOT_IN_CURRENT,alphatradinginvestmentsltd,Alpha Trading Investments Ltd,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,alzar,Alzar,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,amurshipbuildingfactorypjsc,Amur Shipbuilding Factory PJSC,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,andreykazazaev,Andrey K azazaev,経産省;財務省,有効,制裁リスト（財務省：ロシア連邦(個人)／経産省）
HOLD_LEGACY_NOT_IN_CURRENT,"anpp""tempavia",ANPP “TEMP AVIA”,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,anpptemp-avia,ANPP Temp-Avia,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,anpp「テンプ・アヴィア,ANPP「テ ンプ・アヴィア」,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,anppテンプ・アヴィア,ANPPテンプ・アヴィア,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,anppテンプ・エア-,ANPPテンプ・エアー,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aoaviaagregat,AO Aviaagregat,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aocenterofshipbuildingandshiprepairingjsc,AO Center of Shipbuilding and Ship Repairing JSC,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aoconcernkemz,AO Concern KEMZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aodizaintsentrsoyuz,AO Dizain Tsentr Soyuz,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aodtsss,AO DTSSS,OFAC;経産省,有効,制裁リスト（経産省／OFAC）
HOLD_LEGACY_NOT_IN_CURRENT,aoeds,AO EDS,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aogeomir,AO Geomir,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,"aognpp""region""tacticalmissilecorporation","Tactical Missile Corporation, AO GNPP “Region”",経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aogosniikristall,AO GOSNII Kristall,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aogosudarstvennynauchno-issledovatelskiinstitutkristall,AO Gosudarstvenny Nauchno-Issledovatelski Institut Kristall,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aoineumim.i.s.bruk,AO INEUM IM. I.S. Bruk,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aoinzhenernytsentrgeomir,"Inzhenerny Tsentr Geomir, AO",経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aokhabarovskiyradiotekhnicheskiyzavod,AO Khabarovskiy Radiotekhnicheskiy Zavod,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aokhrtz,AO KHRTZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aokonstruktorsko-tekhnologicheskiytsentrelektronika,AO Konstruktorsko-Tekhnologicheskiy Tsentr Elektronika,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aokontsernsozvezdie.,AO Kontsern Sozvezdie.,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aokontsernvega,AO Kontsern Vega,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aokraftveikorporeishnpls,AO Kraftvei Korporeishn Pls,OFAC;経産省,有効,制裁リスト（経産省／OFAC：SDN）
HOLD_LEGACY_NOT_IN_CURRENT,aokraftwaycorporationpsc,AO Kraftway Corporation PSC,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aokttselektronika,AO KTTs Elektronika,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aolls,AO LLS,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aomariyskiymashinostroitelnyizavod,AO Mariyskiy Mashinostroitelnyi Zavod,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aommz,AO MMZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aomtsst,AO MTSST,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-issledovatelskiyinstitutgazorazriyadnikhpriborovplazma,AO Nauchno-Issledovatelskiy Institut Gazorazriyadnikh Priborov Plazma,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-issledovatelskiyinstitutgirikond,AO Nauchno-Issledovatelskiy Institut Girikond,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-issledovatelskiyinstitutmaterialovelektronnoitekhniki,AO Nauchno-Issledovatelskiy Institut Materialov Elektronnoi Tekhniki,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aonauchno-issledovatelskiyinstituttochnogomashinostroeniya,AO Nauchno-Issledovatelskiy Institut Tochnogo Mashinostroeniya,経産省,有効,制裁リスト（経産省）
